titles,ranks,a_count,a_score,actor1,actor2,actor3,box_office,c_count,c_score,genre,mp_rating,runtime,year,month
Labyrinth,15,"372,907",86,David Bowie,Jennifer Connelly,Toby Froud,,27,68,"Action & Adventure,                        Cult Movies,                        Kids & Family,                        Science Fiction & Fantasy",PG,101,1986,Jun
Top Gun,16,"723,952",83,Tom Cruise,Kelly McGillis,Anthony Edwards,,29,54,"Action & Adventure,                        Drama","PG (adult situations/language, violence)",110,1986,May
Howard the Duck,17,"55,437",38,Lea Thompson,Jeffrey Jones,Tim Robbins,,7,15,"Action & Adventure,                        Comedy,                        Science Fiction & Fantasy,                        Romance",PG,101,1986,Aug
Tampopo,1,"8,952",93,Nobuko Miyamoto,Tsutomu Yamazaki,Koji Yakusho,"224,097",47,100,"Art House & International,                        Comedy",NR,114,1985,Nov
Ran,2,"38,088",95,Tatsuya Nakadai,Akira Terao,Jinpachi Nezu,,75,96,"Action & Adventure,                        Art House & International,                        Classics,                        Drama",R,163,1985,Jun
Back to the Future,3,"1,092,606",94,Michael J. Fox,Christopher Lloyd,Crispin Glover,"2,925,880",74,96,"Action & Adventure,                        Comedy,                        Science Fiction & Fantasy","PG (adult situations/language, violence)",116,1985,Jul
Brazil,4,"102,556",90,Jonathan Pryce,Robert De Niro,Michael Palin,,46,98,"Comedy,                        Drama,                        Science Fiction & Fantasy",R,131,1985,Feb
Re-Animator,5,"36,967",82,Jeffrey Combs,Bruce Abbott,Barbara Crampton,,49,94,"Comedy,                        Horror,                        Science Fiction & Fantasy",R,86,1985,Oct
The Breakfast Club,6,"555,553",92,Emilio Estevez,Molly Ringwald,Paul Gleason,,51,88,"Comedy,                        Drama",R (adult situations/language),97,1985,May
After Hours,7,"21,929",87,Griffin Dunne,Rosanna Arquette,Verna Bloom,"10,600,000",45,88,"Comedy,                        Mystery & Suspense","R (adult situations/language, nudity, violence)",96,1985,Sep
Pee-wee's Big Adventure,8,"113,173",79,Paul Reubens,Elizabeth Daily,Mark Holton,,39,87,"Comedy,                        Kids & Family",PG (violence),92,1985,Jul
Mad Max Beyond Thunderdome,9,"67,683",49,Mel Gibson,Tina Turner,Angelo Rossitto,,38,79,"Action & Adventure,                        Science Fiction & Fantasy",PG-13 (violence),107,1985,Jul
The Goonies,10,"578,448",91,Sean Astin,Josh Brolin,Jeff Cohen,,32,70,"Action & Adventure,                        Comedy,                        Kids & Family","PG (adult situations/language, violence)",115,1985,Jun
Out of Africa,11,"40,146",83,Meryl Streep,Robert Redford,Klaus Maria Brandauer,,25,57,"Drama,                        Romance","PG (adult situations/language, violence)",161,1985,Dec
Rocky IV,12,"352,045",79,Sylvester Stallone,Dolph Lundgren,Talia Shire,,17,39,Drama,PG,91,1985,Nov
A View to a Kill,13,"73,673",40,Roger Moore,Christopher Walken,Tanya Roberts,,20,36,"Action & Adventure,                        Mystery & Suspense","PG (adult situations/language, violence)",131,1985,May
The Terminator,1,"774,585",89,Arnold Schwarzenegger,Linda Hamilton,Michael Biehn,,58,100,"Action & Adventure,                        Science Fiction & Fantasy",R (N/A),108,1984,Oct
Ghostbusters (1984 Original),2,"1,038,287",88,Bill Murray,Dan Aykroyd,Harold Ramis,,68,97,"Action & Adventure,                        Comedy,                        Science Fiction & Fantasy",PG,105,1984,Jun
Blood Simple,3,"38,855",88,John Getz,M. Emmet Walsh,Frances McDormand,,90,94,"Drama,                        Mystery & Suspense",R (for violence and language),97,1984,Sep
Amadeus,4,"179,526",95,Tom Hulce,F. Murray Abraham,Elizabeth Berridge,,79,95,"Drama,                        Musical & Performing Arts",R (for brief nudity),158,1984,Sep
Repo Man,5,"31,528",79,Emilio Estevez,Harry Dean Stanton,Tracey Walter,,43,98,"Comedy,                        Science Fiction & Fantasy","R (adult situations/language, violence)",93,1984,Mar
This Is Spinal Tap,6,"126,820",92,Andrew Divoff,Michael McKean,Christopher Guest,,58,95,Comedy,R,83,1984,Mar
A Nightmare on Elm Street,7,"414,530",83,Robert Englund,Heather Langenkamp,John Saxon,,45,94,"Horror,                        Mystery & Suspense","R (adult situations/language, nudity, violence)",91,1984,Jun
The Killing Fields,8,"22,975",92,Sam Waterston,Dr. Haing S. Ngor,John Malkovich,,38,93,"Art House & International,                        Drama","R (adult situations/language, violence)",143,1984,Nov
Romancing the Stone,9,"77,458",69,Kathleen Turner,Michael Douglas,Danny DeVito,,42,88,Action & Adventure,"PG (adult situations/language, violence)",110,1984,Mar
The Karate Kid,10,"315,872",82,Ralph Macchio,Noriyuki 'Pat' Morita,Elisabeth Shue,,38,88,"Drama,                        Kids & Family","PG (adult situations/language, violence)",122,1984,Jun
Indiana Jones and the Temple of Doom,11,"715,783",81,Harrison Ford,Kate Capshaw,Jonathan Ke Quan,,55,85,Action & Adventure,PG (N/A),118,1984,May
Once Upon a Time in America,12,"74,403",94,Robert De Niro,James Woods,Elizabeth McGovern,,43,86,Drama,"R (for strong violence, sexual content, language and some drug use)",144,1984,Jun
Gremlins,13,"451,094",77,Zach Galligan,Hoyt Axton,Frances Lee McCain,,52,84,"Comedy,                        Horror,                        Science Fiction & Fantasy","PG (adult situations/language, violence)",120,1984,Jun
Beverly Hills Cop,14,"377,227",81,Eddie Murphy,Judge Reinhold,John Ashton,,37,84,"Action & Adventure,                        Comedy,                        Mystery & Suspense","R (adult situations/language, violence)",105,1984,Dec
Star Trek III - The Search for Spock,15,"64,375",61,William Shatner,DeForest Kelley,James Doohan,,33,79,"Action & Adventure,                        Science Fiction & Fantasy",PG,105,1984,Jun
Revenge of the Nerds,16,"56,356",73,Robert Carradine,Anthony Edwards,Ted McGinley,,30,70,Comedy,"R (adult situations/language, nudity)",90,1984,Jul
Purple Rain,17,"47,030",78,Prince,Apollonia Kotero,Morris Day,,32,68,"Drama,                        Musical & Performing Arts,                        Romance","R (adult situations/language, nudity, violence)",111,1984,Jan
Dune,18,"70,525",66,Francesca Annis,José Ferrer,Leonardo Cimino,,24,56,Science Fiction & Fantasy,PG-13,137,1984,Mar
The Right Stuff,1,"22,724",90,Sam Shepard,Scott Glenn,Ed Harris,,43,98,"Action & Adventure,                        Drama",PG,193,1983,Oct
Risky Business,2,"70,908",72,Tom Cruise,Rebecca De Mornay,Joe Pantoliano,,45,96,Comedy,"R (adult situations/language, nudity)",99,1983,Aug
National Lampoon's Vacation,3,"113,254",85,Chevy Chase,Beverly D'Angelo,Imogene Coca,,40,93,Comedy,"R (adult situations/language, nudity)",98,1983,Jul
WarGames (War Games),4,"52,397",75,Matthew Broderick,Dabney Coleman,Ally Sheedy,,38,93,"Action & Adventure,                        Drama,                        Mystery & Suspense",PG,110,1983,Jun
The King of Comedy,5,"26,612",90,Robert De Niro,Jerry Lewis,Sandra Bernhard,,45,90,"Comedy,                        Drama,                        Mystery & Suspense",PG,109,1983,Jan
A Christmas Story,6,"285,451",88,Peter Billingsley,Darren McGavin,Melinda Dillon,,49,89,"Comedy,                        Drama,                        Kids & Family",PG,93,1983,Nov
The Dead Zone,7,"36,123",76,Christopher Walken,Brooke Adams,Tom Skerritt,,37,90,"Horror,                        Mystery & Suspense,                        Science Fiction & Fantasy",R (for a sexual reference),103,1983,Oct
Terms of Endearment,8,"36,162",84,Shirley MacLaine,Debra Winger,Jack Nicholson,,37,88,"Comedy,                        Drama,                        Romance",PG (for adult situations/language),132,1983,Nov
Trading Places,9,"87,370",85,Dan Aykroyd,Eddie Murphy,Ralph Bellamy,,36,86,Comedy,"R (adult situations/language, violence)",118,1983,Jun
Star Wars: Episode VI - Return of the Jedi,10,"1,009,426",94,Mark Hamill,Carrie Fisher,Harrison Ford,,69,80,"Action & Adventure,                        Drama,                        Science Fiction & Fantasy",PG (for sci-fi action violence),133,1983,May
Scarface,11,"487,661",93,Al Pacino,Steven Bauer,Michelle Pfeiffer,"656,161",55,82,"Action & Adventure,                        Drama,                        Mystery & Suspense",R,170,1983,Dec
Videodrome,12,"40,924",80,James Woods,Sonja Smits,Deborah Harry,,36,78,"Horror,                        Science Fiction & Fantasy",R,89,1983,Feb
Never Say Never Again,13,"52,351",37,Sean Connery,Klaus Maria Brandauer,Max von Sydow,,30,64,"Action & Adventure,                        Mystery & Suspense","PG (adult situations/language, nudity, violence)",137,1983,Oct
Octopussy,14,"60,968",47,Roger Moore,Louis Jourdan,Maud Adams,,18,42,"Action & Adventure,                        Drama,                        Mystery & Suspense","PG (adult situations/language, violence)",131,1983,Jun
Superman III,15,"167,028",23,Christopher Reeve,Richard Pryor,Robert Vaughn,,11,26,"Action & Adventure,                        Kids & Family,                        Science Fiction & Fantasy",PG,125,1983,Jun
E.T. The Extra-Terrestrial,1,"32,313,427",72,Tamara De Treaux,Henry Thomas,Drew Barrymore,,117,98,"Kids & Family,                        Science Fiction & Fantasy",PG (for language and mild thematic elements),114,1982,Jun
Mad Max 2: The Road Warrior,2,"84,040",85,Mel Gibson,Bruce Spence,Vernon Wells,,41,98,"Action & Adventure,                        Mystery & Suspense,                        Science Fiction & Fantasy",R,96,1982,May
Blade Runner,3,"335,848",91,Harrison Ford,Rutger Hauer,Sean Young,,97,90,"Drama,                        Science Fiction & Fantasy",R (for violence),114,1982,Jun
Tootsie,4,"58,271",81,Dustin Hoffman,Jessica Lange,Teri Garr,,41,89,"Comedy,                        Drama,                        Romance",PG (N/A),119,1982,Dec
Star Trek II: The Wrath of Khan,5,"85,007",90,William Shatner,Leonard Nimoy,James Doohan,,45,88,"Action & Adventure,                        Science Fiction & Fantasy",PG,113,1982,Jun
Gandhi,6,"49,619",92,Ben Kingsley,Candice Bergen,Trevor Howard,,45,87,"Classics,                        Drama",PG,191,1982,Dec
First Blood,7,"138,576",85,Sylvester Stallone,Richard Crenna,Brian Dennehy,,35,88,Action & Adventure,R (adult situations/language),96,1982,Oct
Poltergeist,8,"181,900",78,JoBeth Williams,Craig T. Nelson,Beatrice Straight,,49,86,Horror,"PG (adult situations/language, violence)",114,1982,Jun
The Thing,9,"130,943",92,Kurt Russell,Wilford Brimley,T.K. Carter,,49,83,"Horror,                        Science Fiction & Fantasy","R (adult situations/language, violence)",109,1982,Jul
Fast Times At Ridgemont High,10,"170,515",80,Sean Penn,Jennifer Jason Leigh,Judge Reinhold,,39,78,"Comedy,                        Drama","R (adult situations/language, nudity)",90,1982,Aug
TRON,11,"72,373",69,Jeff Bridges,Bruce Boxleitner,David Warner,,38,70,"Action & Adventure,                        Science Fiction & Fantasy",PG (N/A),96,1982,Jul
Cat People,12,"10,266",45,Nastassja Kinski,Malcolm McDowell,John Heard,,28,65,"Drama,                        Horror,                        Mystery & Suspense",R,119,1982,Apr
Diva,1,"6,380",86,Frédéric Andréi,Wilhelmenia Wiggins Fernandez,Richard Bohringer,,46,98,"Action & Adventure,                        Art House & International,                        Drama,                        Mystery & Suspense",R,117,1981,Oct
Das Boot,2,"47,046",96,Jürgen Prochnow,Herbert Grönemeyer,Klaus Wennemann,,45,98,Drama,"R (adult situations/language, violence)",145,1981,Sep
Raiders of the Lost Ark,3,"824,904",96,Harrison Ford,Karen Allen,Paul Freeman,,67,94,Action & Adventure,PG,115,1981,Jun
The Evil Dead,4,"202,167",84,Bruce Campbell,Ellen Sandweiss,Betsy Baker,,53,95,"Horror,                        Science Fiction & Fantasy",R (for substantial graphic horror violence and gore),85,1981,Oct
Time Bandits,5,"49,498",77,John Cleese,Sean Connery,Shelley Duvall,,40,91,"Action & Adventure,                        Science Fiction & Fantasy",PG,110,1981,Nov
An American Werewolf in London,6,"115,195",85,David Naughton,Griffin Dunne,Jenny Agutter,,43,90,"Comedy,                        Horror,                        Science Fiction & Fantasy","R (adult situations/language, nudity, violence)",97,1981,Aug
Gallipoli,7,"22,996",83,Mel Gibson,Mark Lee,Harold Hopkins,,36,90,"Art House & International,                        Drama","PG (adult situations/language, nudity, violence)",110,1981,Jun
Blow Out,8,"11,529",82,John Travolta,Nancy Allen,John Lithgow,,40,89,Mystery & Suspense,R,107,1981,Jan
Superman II,9,"239,639",75,Christopher Reeve,Gene Hackman,Margot Kidder,,40,87,"Action & Adventure,                        Science Fiction & Fantasy","PG (for sequences of action violence, come language and brief mild sensuality)",127,1981,Jun
Escape from New York,10,"72,286",77,Kurt Russell,Lee Van Cleef,Ernest Borgnine,,48,86,"Action & Adventure,                        Science Fiction & Fantasy",R,99,1981,Jan
Chariots of Fire,11,"37,017",80,Ben Cross,Ian Charleson,Nigel Havers,,53,83,"Art House & International,                        Drama,                        Sports & Fitness",PG (adult situations/language),124,1981,Sep
Excalibur,12,"49,956",80,Nigel Terry,Cherie Lunghi,Nicholas Clay,,32,80,"Action & Adventure,                        Science Fiction & Fantasy",R,140,1981,Apr
For Your Eyes Only,13,"58,836",64,Roger Moore,Lois Maxwell,James Villiers,,34,74,"Action & Adventure,                        Mystery & Suspense","PG (adult situations/language, nudity, violence)",127,1981,Jun
Star Wars: Episode V - The Empire Strikes Back,1,"1,051,935",97,Mark Hamill,Harrison Ford,Carrie Fisher,"4,548,170",85,94,"Action & Adventure,                        Drama,                        Science Fiction & Fantasy",PG (for sci-fi action violence),124,1980,Jun
Airplane!,2,"291,036",89,Robert Hays,Julie Hagerty,Lloyd Bridges,,57,97,Comedy,"PG (adult situations/language, nudity)",88,1980,Jul
Raging Bull,3,"130,719",93,Robert De Niro,Cathy Moriarty,Joe Pesci,,60,95,Drama,R,128,1980,Dec
The Big Red One,4,"8,978",78,Lee Marvin,Mark Hamill,Robert Carradine,,44,92,"Action & Adventure,                        Drama","PG (for vulgar, soldier-like language and convincing battlefield violence)",113,1980,May
The Shining,5,"479,563",93,Jack Nicholson,Shelley Duvall,Danny Lloyd,,61,87,"Drama,                        Horror,                        Mystery & Suspense,                        Special Interest","R (adult situations/language, nudity, violence)",145,1980,May
The Elephant Man,6,"64,203",93,John Hurt,Anthony Hopkins,Anne Bancroft,,38,90,Drama,PG,123,1980,Oct
Ordinary People,7,"23,064",88,Mary Tyler Moore,Timothy Hutton,Donald Sutherland,,37,90,Drama,R (adult situations/language),124,1980,Sep
The Blues Brothers,8,"255,529",92,John Belushi,Dan Aykroyd,James Brown (II),,46,85,"Action & Adventure,                        Comedy",R (adult situations/language),133,1980,Jun
Altered States,9,"19,260",71,William Hurt,Blair Brown,Bob Balaban,,37,86,"Drama,                        Horror,                        Mystery & Suspense,                        Science Fiction & Fantasy","R (nudity, sex, violence, language)",102,1980,Dec
Dressed to Kill,10,"10,410",74,Michael Caine,Angie Dickinson,Nancy Allen,,36,84,"Drama,                        Horror,                        Mystery & Suspense",R,105,1980,Jan
Caddyshack,11,"203,419",87,Chevy Chase,Rodney Dangerfield,Ted Knight,,38,75,"Comedy,                        Special Interest","R (adult situations/language, nudity)",98,1980,Jul
Friday the 13th,12,"228,480",60,Betsy Palmer,Adrienne King,Harry Crosby,,29,59,Horror,"R (adult situations/language, sex, violence)",95,1980,May
Heaven's Gate,13,"5,388",54,Kris Kristofferson,Christopher Walken,John Hurt,,24,57,"Action & Adventure,                        Drama,                        Western",R,220,1980,Nov
Cruising,14,"6,155",49,Al Pacino,Paul Sorvino,Karen Allen,,21,50,"Drama,                        Mystery & Suspense","R (adult situations/language, nudity, violence)",101,1980,Feb
Alien,1,"457,750",94,Sigourney Weaver,Tom Skerritt,Veronica Cartwright,,101,97,"Drama,                        Mystery & Suspense,                        Science Fiction & Fantasy",R (for sci-fi violence/ gore and language),117,1979,May
Apocalypse Now,2,"285,067",94,Martin Sheen,Marlon Brando,Robert Duvall,,80,96,"Action & Adventure,                        Drama","R (adult situations/language, violence)",153,1979,Jan
Monty Python's Life of Brian,3,"258,233",93,Graham Chapman,Terry Jones,Michael Palin,,57,97,Comedy,R,92,1979,Aug
Manhattan,4,"51,565",92,Woody Allen,Diane Keaton,Michael Murphy,,58,95,"Comedy,                        Drama,                        Romance",R,96,1979,Mar
Being There,5,"24,912",92,Peter Sellers,Shirley MacLaine,Melvyn Douglas,,45,96,"Comedy,                        Drama",PG,130,1979,Dec
Nosferatu: Phantom der Nacht (Nosferatu the Vampyre),6,"21,141",83,Klaus Kinski,Isabelle Adjani,Bruno Ganz,,47,94,"Art House & International,                        Horror",PG,107,1979,Jan
Dawn of the Dead,7,"403,650",77,Sarah Polley,Ving Rhames,Jake Weber,"58,885,635",139,76,"Drama,                        Horror,                        Mystery & Suspense","R (for pervasive strong horror violence and gore, language and sexuality)",109,2004,Mar
Dawn of the Dead,7,"204,395",90,David Emge,Ken Foree,Scott Reiniger,,37,93,"Action & Adventure,                        Horror,                        Science Fiction & Fantasy","R (adult situations/language, violence)",126,1979,May
Mad Max,8,"141,663",70,Mel Gibson,Tim Burns,Joanne Samuel,,53,90,"Action & Adventure,                        Cult Movies,                        Science Fiction & Fantasy","R (adult situations/language, violence)",93,1979,Apr
The Muppet Movie,9,"59,908",88,Austin Pendleton,Dom DeLuise,Steve Martin,,42,88,"Kids & Family,                        Musical & Performing Arts",G,98,1979,Jan
Kramer vs. Kramer,10,"43,147",89,Dustin Hoffman,Meryl Streep,Justin Henry,,38,88,Drama,PG,105,1979,Dec
The Fog,11,"49,268",64,Adrienne Barbeau,Hal Holbrook,Janet Leigh,,30,71,Horror,R (N/A),91,1979,Jun
Moonraker,12,"57,827",43,Roger Moore,Lois Chiles,Michel Lonsdale,,29,62,"Action & Adventure,                        Mystery & Suspense,                        Science Fiction & Fantasy",PG (violence),136,1979,Jun
The Last Waltz,1,"13,773",94,Van Morrison,Bob Dylan,Neil Young,,45,98,"Documentary,                        Musical & Performing Arts",PG (adult situations/language),117,1978,May
The Deer Hunter,2,"102,995",92,Robert De Niro,Christopher Walken,John Cazale,,59,94,"Cult Movies,                        Drama",R,183,1978,Dec
Superman,3,"285,485",86,Marlon Brando,Christopher Reeve,Gene Hackman,,57,93,"Action & Adventure,                        Drama","PG (for peril, some mild sensuality and language)",142,1978,Dec
Invasion of the Body Snatchers,4,"35,052",81,Donald Sutherland,Brooke Adams,Leonard Nimoy,,49,94,"Horror,                        Mystery & Suspense,                        Science Fiction & Fantasy","PG (adult situations/language, nudity, violence)",115,1978,Dec
Invasion of the Body Snatchers,4,"18,942",85,Kevin McCarthy,Dana Wynter,Larry Gates,,50,98,"Classics,                        Mystery & Suspense,                        Science Fiction & Fantasy",PG,80,1956,Jan
Days of Heaven,5,"16,139",89,Richard Gere,Brooke Adams,Sam Shepard,,47,94,Drama,PG,93,1978,Sep
Halloween,6,"301,594",89,Donald Pleasence,Jamie Lee Curtis,Nancy Kyes,,51,93,"Horror,                        Mystery & Suspense",R,93,1978,Oct
National Lampoon's Animal House,7,"185,327",89,John Belushi,Tim Matheson,Peter Riegert,,42,91,Comedy,R (N/A),109,1978,Jun
Grease,8,"1,160,871",87,John Travolta,Olivia Newton-John,Stockard Channing,,47,76,"Comedy,                        Musical & Performing Arts,                        Romance",PG (adult situations/language),110,1978,Jun
Star Wars: Episode IV - A New Hope,1,"857,718",96,Mark Hamill,Harrison Ford,Carrie Fisher,,105,93,"Action & Adventure,                        Drama,                        Science Fiction & Fantasy",PG (for sci-fi violence and brief mild language),125,1977,May
Annie Hall,2,"153,145",92,Woody Allen,Diane Keaton,Tony Roberts,,67,97,"Comedy,                        Romance",PG,93,1977,Apr
Close Encounters of the Third Kind,3,"141,462",85,Richard Dreyfuss,Melinda Dillon,Teri Garr,,55,96,"Action & Adventure,                        Mystery & Suspense,                        Science Fiction & Fantasy","PG (for some intense sci-fi action, mild language and thematic elements)",137,1977,Nov
Eraserhead,4,"57,108",83,Jack Nance,Charlotte Stewart,Allan Joseph,,51,91,"Drama,                        Horror,                        Special Interest",R,89,1977,Jan
Suspiria,5,"35,594",83,Jessica Harper,Stefania Casini,Joan Bennett,,43,91,"Drama,                        Horror",R,97,1977,Feb
Saturday Night Fever,6,"179,129",71,John Travolta,Karen Lynn Gorney,Donna Pescow,,40,85,"Classics,                        Drama,                        Musical & Performing Arts","R (for strong language, sexuality/nudity and some drug content)",122,1977,Dec
The Spy Who Loved Me,7,"60,797",76,Roger Moore,Curd Jürgens,Barbara Bach,,38,79,"Action & Adventure,                        Mystery & Suspense","PG (adult situations/language, nudity, violence)",125,1977,Jul
Taxi Driver,1,"258,610",93,Robert De Niro,Jodie Foster,Cybill Shepherd,,78,98,"Drama,                        Mystery & Suspense","R (violence, language)",112,1976,Feb
Assault on Precinct 13,2,"24,483",80,Austin Stoker,Darwin Joston,Gilbert De la Pena,,39,98,"Action & Adventure,                        Drama,                        Mystery & Suspense",R,91,1976,Nov
Solaris,3,"26,776",90,Donatas Banionis,Natalya Bondarchuk,Jüri Järvet,,52,96,"Art House & International,                        Drama,                        Science Fiction & Fantasy",PG,165,1976,Oct
Carrie,4,"352,530",76,Sissy Spacek,Piper Laurie,John Travolta,,56,93,Horror,"R (adult situations/language, nudity, violence)",98,1976,Nov
Rocky,5,"33,403,485",69,Sylvester Stallone,Talia Shire,Burt Young,,52,93,"Drama,                        Sports & Fitness",PG (N/A),119,1976,Nov
All the President's Men,6,"49,904",92,Robert Redford,Dustin Hoffman,Jason Robards,,51,93,"Classics,                        Drama,                        Mystery & Suspense",PG,138,1976,Apr
Network,7,"36,073",93,Peter Finch,Faye Dunaway,William Holden,,53,91,"Comedy,                        Drama",R,121,1976,Nov
The Omen,8,"125,683",80,Gregory Peck,Lee Remick,David Warner,,37,86,"Classics,                        Horror,                        Mystery & Suspense",R,111,1976,Jun
The Man Who Fell to Earth,9,"12,704",69,David Bowie,Rip Torn,Candy Clark,,45,82,"Drama,                        Science Fiction & Fantasy",R,140,1976,Mar
Jaws,1,"942,459",90,Roy Scheider,Robert Shaw,Richard Dreyfuss,,74,97,"Action & Adventure,                        Drama,                        Mystery & Suspense","PG (adult situations/language, violence)",124,1975,Jun
Monty Python and the Holy Grail,2,"643,780",95,Graham Chapman,John Cleese,Eric Idle,,70,97,Comedy,PG,92,1975,Jan
Barry Lyndon,3,"44,669",92,Ryan O'Neal,Marisa Berenson,Patrick Magee,,60,97,"Classics,                        Drama",PG,203,1975,Jan
One Flew Over the Cuckoo's Nest,4,"278,775",96,Jack Nicholson,Louise Fletcher,William Redfield,,63,95,"Classics,                        Drama",R (N/A),134,1975,Nov
Dog Day Afternoon,5,"109,823",90,Al Pacino,John Cazale,Charles Durning,,40,95,"Classics,                        Drama",R,150,1975,Sep
Nashville,6,"9,982",84,Henry Gibson,Lily Tomlin,Ned Beatty,,46,94,"Classics,                        Drama,                        Musical & Performing Arts",R (N/A),157,1975,Jun
Professione: reporter (The Passenger),7,"8,733",85,Jack Nicholson,Maria Schneider,Jenny Runacre,"495,232",61,91,"Art House & International,                        Classics,                        Drama,                        Mystery & Suspense","PG-13 (for some violence, nudity and language)",126,1975,Feb
Three Days of the Condor,8,"11,550",83,Robert Redford,Faye Dunaway,Cliff Robertson,,37,86,"Classics,                        Drama,                        Mystery & Suspense,                        Romance","R (adult situations/language, violence)",120,1975,Sep
The Rocky Horror Picture Show,9,"365,946",85,Tim Curry,Susan Sarandon,Barry Bostwick,,33,80,"Classics,                        Comedy,                        Cult Movies,                        Horror,                        Musical & Performing Arts,                        Science Fiction & Fantasy",R,100,1975,Sep
"The Godfather, Part II",1,"409,884",97,Al Pacino,Robert De Niro,Robert Duvall,,70,97,"Drama,                        Mystery & Suspense","R (adult situations/language, violence)",200,1974,Dec
Chinatown,2,"77,225",93,Jack Nicholson,Faye Dunaway,John Huston,,63,98,"Classics,                        Drama,                        Mystery & Suspense",R,130,1974,Jan
Badlands,3,"25,996",91,Martin Sheen,Sissy Spacek,Warren Oates,,49,98,"Action & Adventure,                        Classics,                        Cult Movies,                        Drama,                        Mystery & Suspense",PG (N/A),95,1974,Jan
The Conversation,4,"34,755",90,Gene Hackman,John Cazale,Allen Garfield,,47,98,"Drama,                        Mystery & Suspense",PG (adult situations/language),113,1974,Apr
Young Frankenstein,5,"208,992",92,Gene Wilder,Peter Boyle,Marty Feldman,,52,93,"Classics,                        Comedy,                        Horror,                        Science Fiction & Fantasy",PG,108,1974,Dec
Blazing Saddles,6,"217,931",91,Cleavon Little,Gene Wilder,Harvey Korman,,46,90,"Classics,                        Comedy,                        Western",R (adult situations/language),93,1974,Feb
Amarcord,7,"18,098",90,Magali Noël,Bruno Zanin,Pupella Maggio,,39,91,"Art House & International,                        Comedy,                        Drama",R,125,1974,Sep
The Texas Chainsaw Massacre,8,"202,114",81,Gunnar Hansen,Marilyn Burns,Allen Danziger,,51,88,"Classics,                        Horror",R (N/A),83,1974,Oct
F for Fake,9,"7,390",89,Orson Welles,Orson Welles,Oja Kodar,,43,88,"Documentary,                        Musical & Performing Arts,                        Special Interest,                        Television",PG,85,1974,Sep
The Man with the Golden Gun,10,"62,193",56,Roger Moore,Christopher Lee,Britt Ekland,,20,45,"Action & Adventure,                        Drama","PG (adult situations/language, violence)",123,1974,Dec
Playtime,1,"7,224",89,Barbara Dennek,France Delahalle,France Rumilly,,42,100,"Art House & International,                        Comedy",NR,145,1973,Jun
Mean Streets,2,"54,388",85,Jeanne Bell,Robert De Niro,Harvey Keitel,,50,98,"Classics,                        Drama",R,112,1973,Jan
Don't Look Now,3,"18,455",77,Julie Christie,Donald Sutherland,Hilary Mason,,49,96,"Classics,                        Horror,                        Mystery & Suspense",R,110,1973,Dec
Enter the Dragon,4,"104,957",92,Bruce Lee,John Saxon,Jim Kelly,,42,95,"Action & Adventure,                        Classics,                        Drama",R,102,1973,Jul
American Graffiti,5,"64,330",84,Richard Dreyfuss,Ron Howard,Paul Le Mat,,42,95,"Comedy,                        Drama",PG (N/A),113,1973,Aug
The Sting,6,"61,452",95,Paul Newman,Robert Redford,Robert Shaw,,51,93,"Classics,                        Comedy,                        Drama",PG (N/A),129,1973,Dec
The Wicker Man,7,"42,928",82,Edward Woodward,Britt Ekland,Diane Cilento,,43,90,"Classics,                        Drama,                        Horror,                        Mystery & Suspense",R,88,1973,Dec
The Exorcist,8,"419,310",87,Linda Blair,Jason Miller,Max von Sydow,,61,86,"Classics,                        Horror",R (for strong language and disturbing images),122,1973,Dec
Ziggy Stardust and the Spiders from Mars,9,"1,902",89,David Bowie,Mick Ronson,Trevor Bolder,,29,73,"Documentary,                        Musical & Performing Arts,                        Special Interest",PG,91,1973,Apr
Live and Let Die,10,"64,497",65,Roger Moore,Yaphet Kotto,Jane Seymour,,29,66,"Action & Adventure,                        Mystery & Suspense","PG (adult situations/language, violence)",121,1973,Jun
The Godfather,1,"730,714",98,Marlon Brando,Al Pacino,James Caan,,85,98,Drama,R (N/A),175,1972,Mar
The Discreet Charm Of The Bourgeoisie (Le Charme Discret de la Bourgeoisie),2,"12,719",89,Fernando Rey,Delphine Seyrig,Stéphane Audran,,48,98,"Art House & International,                        Comedy,                        Drama,                        Science Fiction & Fantasy,                        Special Interest",PG,101,1972,Sep
"Aguirre, the Wrath of God (Aguirre, der Zorn Gottes)",3,"24,159",91,Klaus Kinski,Ruy Guerra,Del Negro,,43,98,"Action & Adventure,                        Art House & International,                        Drama",R,90,1972,Dec
Deliverance,4,"49,161",82,Burt Reynolds,Jon Voight,James Dickey,,51,93,"Classics,                        Drama",R,109,1972,Jul
Duel,5,"35,312",83,Dennis Weaver,Tim Herbert,Charles Seel,,35,88,"Mystery & Suspense,                        Television",PG,90,1972,Jan
Pink Flamingos,6,"20,076",72,Divine,Mary Vivian Pearce,Mink Stole,,33,80,Comedy,NC17,95,1972,Mar
The Last Picture Show,1,"13,960",90,Timothy Bottoms,Jeff Bridges,Cloris Leachman,,51,100,"Classics,                        Drama","R (adult situations/language, nudity, violence)",125,1971,Oct
The French Connection,2,"43,833",87,Gene Hackman,Fernando Rey,Roy Scheider,,54,98,"Action & Adventure,                        Classics,                        Drama","R (adult situations/language, violence)",104,1971,Oct
